prompt,intent
Iâ€™d like to change my booking time to an earlier slot.,ModifyBooking
Is it possible to update my reservation with a special request?,ModifyBooking
Can you move my booking from the rooftop section to the main dining area?,ModifyBooking
Can I add a request for outdoor seating to my reservation?,ModifyBooking
I need to update the number of guests from four to six.,ModifyBooking
Can I modify my reservation to include a child seat?,ModifyBooking
Can you shift my booking to a quieter section of the restaurant?,ModifyBooking
Is it possible to change my dinner reservation to a lunch one?,ModifyBooking
I need to change the date for my booking to next Friday.,ModifyBooking
Can you update my booking with a request for a gluten-free meal?,ModifyBooking
I want to change the time for my reservation to 6 PM.,ModifyBooking
Can you add a request for anniversary decorations to my booking?,ModifyBooking
Can I include a pet in my outdoor reservation?,ModifyBooking
I want to update my booking,ModifyBooking
Can you change my booking to a private dining room?,ModifyBooking
Can I update my booking to request minimal noise for a meeting?,ModifyBooking
I need to modify my reservation to a larger table for eight.,ModifyBooking
Can you shift my reservation from the garden view to the city view?,ModifyBooking
Iâ€™d like to change my booking to a buffet option if available.,ModifyBooking
Can you move my reservation from Saturday to Sunday?,ModifyBooking
Can you change the time of my booking to 1 PM for lunch?,ModifyBooking
Can I update my reservation to include wheelchair-accessible seating?,ModifyBooking
I need to cancel my reservation for this evening.,CancelBooking
Can you cancel my table booking for four tomorrow?,CancelBooking
Iâ€™d like to cancel my reservation at your rooftop section.,CancelBooking
Can I cancel my booking for lunch on Friday?,CancelBooking
Please cancel the dinner reservation I made for eight guests.,CancelBooking
Is it possible to cancel my reservation without a penalty?,CancelBooking
I need to cancel my booking for two people next Monday.,CancelBooking
Can you confirm the cancellation of my reservation for Saturday?,CancelBooking
I want to cancel my outdoor seating reservation for Sunday.,CancelBooking
Please cancel my table for four at the main dining area.,CancelBooking
Can I cancel my brunch reservation for tomorrow morning?,CancelBooking
Please cancel the reservation under my name for tonight.,CancelBooking
Iâ€™d like to cancel my table booking for a group of six.,CancelBooking
Can you cancel my reservation for high tea on Friday?,CancelBooking
Please cancel my dinner booking for two this weekend.,CancelBooking
I need to cancel my private dining room reservation for next Wednesday.,CancelBooking
Can I cancel the booking for our business meeting on Thursday?,CancelBooking
Iâ€™d like to cancel my reservation for a family dinner on Saturday.,CancelBooking
Please cancel my table booking for brunch this Sunday.,CancelBooking
Can you remove my reservation for the buffet dinner tomorrow?,CancelBooking
I want to cancel the reservation I made for a romantic dinner.,CancelBooking
Can you cancel my table booking for lunch at 1 PM?,CancelBooking
Please cancel my reservation for the garden view table.,CancelBooking
I need to cancel my rooftop dinner booking for eight people.,CancelBooking
Can you confirm the cancellation of my booking for Friday night?,CancelBooking
I want to exit,ExitChat
I want to leave,ExitChat
Exit,ExitChat
Goodbye,ExitChat
Close the chat,ExitChat
I'm done,ExitChat
End the conversation,ExitChat
Bye,ExitChat
Quit,ExitChat
Finish chat,ExitChat
Log off,ExitChat
Stop talking,ExitChat
I'm finished,ExitChat
Shut down,ExitChat
End this,ExitChat
No more,ExitChat
That's it,ExitChat
I'm out,ExitChat
Terminate chat,ExitChat
Wrap up,ExitChat
Conclude,ExitChat
Exit program,ExitChat
Close this,ExitChat
Leave chat,ExitChat
Goodbye for now,ExitChat
See you later,ExitChat
Help me out,Help
I need assistance,Help
Can you assist me,Help
How can you help,Help
What options do I have,Help
Guide me please,Help
What are your features,Help
Can you explain your functions,Help
Give me a list of your features,Help
How do I use this,Help
What are the available commands,Help
What can you assist with,Help
Show me what you can do,Help
Explain your features,Help
What are your capabilities,Help
Can you show me the options,Help
What are your main functions,Help
Tell me how to use you,Help
Give me assistance,Help
How does this work,Help
I need help using this,Help
What is this chatbot for,Help
